teste	myeureka	myzuul	myservice1	myservice2	delay	size	repeat	rampup	threads	timeout	samples	avg	min	max	90% perc	std dev	Err %	throughput	rec kB/s	sem kB/s	avg Bytes	Err	504	500	404	Conn. Timeout	conn. Reset	conn. Refused	host unreachable	no HTTP response	Too many open files
	1024	1024	700	700	0	0	1	0	10000																						
	1024	1024	800	800	0	0	1	0	10000																						
	1024	1024	900	900	0	0	1	0	10000																						
1	1024	1024	1000	1000	0	0	1	0	10000		10000	2016	2	7352		2363.72691188789	0.1578	217.263779955244	40.7914868582571	31.4014056966563	192.257	1578	0	1578	0	0	0	0	0	0	0
1	1024	1024	2048	2048	0	0	1	0	10000		10000	1285	2	7654		1868.47996507158	0.0195	231.679911034914	41.4803875715312	33.4849871417649	183.3388	195	31	164	0	0	0	0	0	0	0
2	1024	3072	2048	2048	0	0	1	0	10000		10000	2359	2	9406		2757.38809904536	0.0858	210.717070189856	38.6011860078597	30.4552015508776	187.5862	858	4	854	0	0	0	0	0	0	0
2	3072	3072	3072	3072	0	0	1	0	10000		10000	20020	4867	32981		5396.10216841794	0.0914	243.07834415032	44.9775646284548	35.1078242361263	189.474	914	0	907	0	0	7	0	0	0	0
2	3072	200	200	200	0	0	1	0	10000	TO	9592	862686	14460	2099325		949411.275444183	1	4.56893315982311	11.5759457199237	0	2594.42806505421	9592	0	0	0	5055	949	0	0	0	0
2	3072	300	200	200	0	0	1	0	10000	TO	9742	362934	14359	679015		265929.839318981	0.999486758365839	14.3150396080777	34.8044514178384	0.075181233955827	2489.67234654075	9737	13	335	0	3665	1531	0	0	0	0
2	3072	400	200	200	0	0	1	0	10000	TO	10000	51698	0	131940	130922	63835.53	1	73.3	159.5		2229.1	3961	0	0	0	3961	0	0	0	0	0
2	3072	500	200	200	0	0	1	0	10000		10000	7035	0	14874	11293	4149.12	0.2415	234.8	131.55		573.8	244	0	212	0	0	0	0	0	0	0
2	3072	600	200	200	0	0	1	0	10000		10000	6408	0	14177	11327	3384.42	0.2178	243.9	100.95		423.8	860	44	789	0	0	0	0	0	0	0
2	3072	700	200	200	0	0	1	0	10000		10000	4200	0	12471	9090	3622.06	0.018	231.9	43.23		190.9	137	2	133	0	0	0	0	0	0	0
2	3072	800	200	200	0	0	1	0	10000		10000	4796	0	12372	9104	3449.78	0.0557	249.2	57.48		236.2	271	8	252	0	0	0	0	0	0	0
2	3072	900	200	200	0	0	1	0	10000		10000	3118	0	13471	9375	3822.88	0.0255	229.1	46.39		207.4	134	0	116	0	0	0	0	0	0	18
2	3072	1024	200	200	0	0	1	0	10000		10000	4796	0	14376	11384	4549.61	0.3752	251.3	128		521.6	1934	50	1853	0	0	0	0	0	0	31
																															
																															
			3072	3072	0	0	4	0	10000		40000	518	1	1932		348.933650397284	0	1137.62407212537	202.194903444157	164.422229174369	182										
			3072	3072	10	0	4	0	10000		40000	268	11	1308		218.868509662867	0	1127.586401308	200.410864294977	164.072630659074	182										
			3072	3072	20	0	4	0	10000		40000	242	21	1546		200.930035897766	0	1142.82449072884	203.119196594383	166.28989171738	182										
			3072	3072	30	0	4	0	10000		40000	291	31	1474		210.990873792374	0.00015	1132.24637681159	201.249882794809	164.750693500906	182.00975										
			3072	3072	40	0	4	0	10000		40000	248	8	1048		191.860485124919	0.001525	1093.1649859255	194.398815837569	159.064045803613	182.099125										
			3072	3072	50	0	4	0	10000		40000	318	6	1999		222.955862973447	0.005975	1097.54424475237	195.487608682604	159.701262175881	182.388375										
			3072	3072	60	0	4	0	10000		40000	410	4	1543		236.257235723051	0.015925	1092.47828699405	195.275292792716	158.964125744251	183.035125										
			3072	3072	70	0	4	0	10000		40000	388	3	2140		404.09420317218	0.02315	969.062674128449	173.659769287376	141.006189887831	183.50475										
			3072	3072	80	0	4	0	10000		40000	848	3	2376		299.57274822612	0.06195	1003.96566437428	182.387177397596	146.08484764821	186.02675										
			3072	3072	90	0	4	0	10000		40000	1260	3	2804		535.5229655806	0.083425	951.271136055554	174.111067779555	138.417382101834	187.422625										
			3072	3072	100	0	4	0	10000		40000	1472	3	3085		526.101959557836	0.106275	912.034292489398	168.252402462208	133.598773313877	188.907875										
																															
			3072	3072	0	1024	4	0	10000		40000	1034	1	4317		1205.50220765705	0	717.19290696215	127.469833073351	105.757938428989	182										
			3072	3072	10	1024	4	0	10000		40000	3809	11	12631		1862.35805573537	0	848.212392383053	150.756499427457	125.906526994359	182										
			3072	3072	20	1024	4	0	10000		40000	1161	22	3091		707.162567548208	0	1090.39363210119	193.800430705485	161.85530476502	182										
			3072	3072	30	1024	4	0	10000		40000	669	31	1802		303.593930231106	0	1140.08835684766	202.632891549095	169.231865469574	182										
			3072	3072	40	1024	4	0	10000		40000	1050	41	2646		668.883540614657	0.000325	1018.30401466358	181.008635098712	151.154502176625	182.021125										
			3072	3072	50	1024	4	0	10000		40000	2610	51	5568		1179.23903357625	0.004775	916.023541805024	163.086518960256	135.972244486683	182.310375										
			3072	3072	60	1024	4	0	10000		40000	2092	4	5347		1195.54466309419	0.0118	972.006220839813	173.486973597881	144.28217340591	182.767										
			3072	3072	70	1024	4	0	10000		40000	1808	5	3640		644.077808397106	0.0298	979.168196616974	175.884043536266	145.345279185332	183.937										
			3072	3072	80	1024	4	0	10000		40000	2255	3	4030		863.829066970074	0.044875	953.197979220284	172.131241771221	141.490325040511	184.916875										
			3072	3072	90	1024	4	0	10000		40000	2594	3	6885		1086.36626035085	0.07255	929.519206190598	169.488159886018	137.975507168917	186.71575										
			3072	3072	100	1024	4	0	10000		40000	3539	4	5987		1353.3668202988	0.0922	875.925195988263	160.808403681076	130.875541978715	187.993										
																															
			3072	3072	0	2048	4	0	10000		40000	657	1	1929		374.50236288099	0	1146.42744547304	203.759565503998	169.053265885185	182										
			3072	3072	20	2048	4	0	10000		40000	502	21	1970		269.985461468899	0	1143.2164394524	203.188859355798	169.696190231216	182										
			3072	3072	40	2048	4	0	10000		40000	603	12	2148		265.032801759706	0.00045	1161.44018583043	206.461021432201	172.401277584204	182.02925										
			3072	3072	80	2048	4	0	10000		40000	1682	4	2728		570.984326082441	0.056	1003.43677094047	181.912111481825	148.947645686476	185.64										
			3072	3072	100	2048	4	0	10000		40000	2879	2	4987		1240.82921192963	0.108075	910.290837922716	168.034777199206	136.010252150562	189.024875										
																															
			3072	3072	0	4096	4	0	10000		40000	606	1	1951		336.840571185493	0	1145.60659869401	203.613672814755	168.932223049605	182										
			3072	3072	20	4096	4	0	10000		40000	373	21	1573		267.390839683542	0	1141.61767224157	202.90470346481	169.458873223358	182										
			3072	3072	40	4096	4	0	10000		40000	487	41	1661		261.042340818017	0.001225	1151.50991737916	204.752435488456	170.92725336097	182.079625										
			3072	3072	80	4096	4	0	10000		40000	1339	3	4308		463.341630919539	0.059525	1009.79501161264	183.290737536921	149.891447036252	185.869125										
			3072	3072	100	4096	4	0	10000		40000	2340	3	4706		1204.43156848772	0.106675	915.31086245166	168.880105539633	136.760314409281	188.933875										
																															
			3072	3072	0	8192	4	0	10000		40000	891	1	2224		387.559731677118	0	1159.68920329352	206.116635741621	171.00885712629	182										
			3072	3072	20	8192	4	0	10000		40000	626	21	1821		349.777680991651	0	1145.37697219597	203.572860292644	170.01689431034	182										
			3072	3072	40	8192	4	0	10000		40000	629	41	1800		307.867238557344	0.00035	1140.83623295876	202.791160569135	169.342878329816	182.02275										
			3072	3072	80	8192	4	0	10000		40000	1591	2	3102		592.475632795231	0.060875	1016.80266402298	184.649849505262	150.931645440911	185.956875										
			3072	3072	100	8192	4	0	10000		40000	2400	3	4770		975.057988844638	0.110775	913.721817392695	168.82471728162	136.522888731526	189.200375										
																															
			3072	3072	0	16384	4	0	10000		40000	731	1	2903		503.293895143006	0	1136.97734572639	202.079957931838	168.770074756261	182										
			3072	3072	20	16384	4	0	10000		40000	567	22	1720		282.032163900144	0	1148.27041768336	204.087125017942	171.567747954643	182										
			3072	3072	40	16384	4	0	10000		40000	602	41	1596		284.853944348569	0.000475	1146.55889013099	203.817498056224	171.312021669963	182.030875										
			3072	3072	80	16384	4	0	10000		40000	878	4	1980		340.840719419552	0.052	1004.69695827996	181.885470826112	150.115854118002	185.38										
			3072	3072	100	16384	4	0	10000		40000	3069	3	5090		1216.21131722513	0.11095	913.700945680479	168.831010653182	137.412056283978	189.21175										
																															
			3072	3072	0	32768	4	0	10000		40000	1003	1	2399		402.011878489485	0	1136.04089747231	201.91351888668	168.631070718546	182										
			3072	3072	20	32768	4	0	10000		40000	350	21	1840		289.628456869815	0	1113.67875936186	197.938998245956	166.399267756216	182										
			3072	3072	40	32768	4	0	10000		40000	595	41	1926		317.40284755594	0.0007	1155.70194446852	205.459314777094	172.678122562191	182.0455										
			3072	3072	80	32768	4	0	10000		40000	1785	3	3329		698.275087531526	0.06255	1020.59041155308	185.446211297298	152.490559538693	186.06575										
			3072	3072	100	32768	4	0	10000		40000	2389	3	5013		1097.70994215021	0.1117	904.670360737306	167.205434383128	136.053940970259	189.2605										
																															
			3072	3072	0	65536	4	0	10000		40000	837	1	2164		367.21696365533	0	1157.77591247214	205.776578193291	171.857362007583	182										
			3072	3072	20	65536	4	0	10000		40000	480	21	1823		354.013644963537	0	1140.47843070168	202.702221081744	170.403515524763	182										
			3072	3072	40	65536	4	0	10000		40000	512	41	1504		248.593517936599	0.0011	1148.33634771625	204.179024739471	171.577598828697	182.0715										
			3072	3072	80	65536	4	0	10000		40000	1565	3	2746		534.607044432974	0.062325	1010.7901852273	183.65102646533	151.026267909939	186.051125										
			3072	3072	100	65536	4	0	10000		40000	3458	3	5715		1287.41313621091	0.1087	916.086478563576	169.140964953967	137.770818065225	189.0655										
																															
			3072	3072	0	131072	4	0	10000		40000	742	1	2131		368.939680215818	0	1142.26968987378	203.02058941116	170.671154834656	182										
			3072	3072	20	131072	4	0	10000		40000	501	21	1740		305.97164037763	0.0002	1137.4623215606	202.180595248251	171.063669453449	182.013										
			3072	3072	40	131072	4	0	10000		40000	395	20	1597		240.710137331676	0.00215	1124.03754285393	199.933512740263	169.044708593267	182.13975										
			3072	3072	80	131072	4	0	10000		40000	1927	4	4018		1020.44408732657	0.043025	972.266109234097	175.460444910491	146.219707834034	184.796625										
			3072	3072	100	131072	4	0	10000		40000	1903	2	4434		862.301599925867	0.101875	897.625779812396	165.343610973195	135.871089717697	188.621875										
																															
			3072	3072	0	262144	4	0	10000		40000	416	1	2470		323.524679989772	0	1102.59661502839	195.969320249187	164.743439550141	182										
			3072	3072	20	262144	4	0	10000		40000	429	21	1975		257.934669175199	0.000625	1125.36574386676	200.060823600678	169.244457573711	182.040625										
			3072	3072	40	262144	4	0	10000		40000	485	27	2091		262.449555918703	0.00105	1114.36133166179	198.134587425129	167.589497144449	182.06825										
			3072	3072	80	262144	4	0	10000		40000	1180	2	2478		416.443184454107	0.052275	1004.46989101502	181.861897749674	151.06285470343	185.397875										
			3072	3072	100	262144	4	0	10000		40000	2632	2	5727		1438.75067302282	0.10095	890.293574306127	163.940736704022	134.761234392041	188.56175										
																															
			3072	3072	0	524288	4	0	10000		40000	319	1	1960		276.727866146029	0.00105	1067.2073850751	189.750567370801	159.455790934073	182.06825										
			3072	3072	100	524288	4	0	10000		40000	2050	2	4613		910.964472172077	0.097925	876.885303402315	161.30332986918	132.731662136093	188.365125										
																															
			3072	3072	0	0	4	1	10000		40000	647	1	1893		345.607452947267	0	1131.95800435804	201.187848430823	163.603305317373	182										
			3072	3072	10	0	4	1	10000		40000	926	11	3077		696.709694932394	0	1024.24909738048	182.044273167234	149.036245614934	182										
			3072	3072	20	0	4	1	10000		40000	395	21	1547		250.291739321731	0	1142.40018278403	203.043782487005	166.228151596504	182										
			3072	3072	30	0	4	1	10000		40000	413	15	1955		312.149798714511	0.00115	1095.08035152079	194.713360579161	159.342746461522	182.07475										
			3072	3072	40	0	4	1	10000		40000	467	22	2019		319.680740137906	0.0016	1012.83771807662	180.118945129517	147.375800774821	182.104										
			3072	3072	50	0	4	1	10000		40000	648	4	3006		429.070639439006	0.00565	1069.31857673697	190.438172083434	155.594206966611	182.36725										
			3072	3072	60	0	4	1	10000		40000	397	4	1393		249.081539047954	0.012975	1041.20571621938	185.915592991059	151.503566129578	182.843375										
			3072	3072	70	0	4	1	10000		40000	810	5	2262		326.38783885603	0.031125	1006.64384940608	180.904049736071	146.474544493658	184.023125										
			3072	3072	80	0	4	1	10000		40000	1263	4	3143		651.691597389192	0.04295	942.418245217227	170.069449966426	137.129217321647	184.79175										
			3072	3072	90	0	4	1	10000		40000	943	3	2906		641.967750975388	0.062325	914.118561177385	166.086705752377	133.011392202569	186.051125										
			3072	3072	100	0	4	1	10000		40000	2063	2	3971		588.103802887883	0.0935	879.198171267804	161.481830133418	128.788794619307	188.0775										
																															
			3072	3072	0	1024	4	1	10000		40000	1240	1	3495		579.089095227905	0	1133.20868037849	201.410136551646	167.10401439175	182										
			3072	3072	20	1024	4	1	10000		40000	3293	22	6034		1379.25883079071	0	714.732422049495	127.032520325203	106.093093897972	182										
			3072	3072	40	1024	4	1	10000		40000	3301	42	5515		1160.16717440603	0.000425	840.548037320333	149.416955988117	124.768849289737	182.027625										
			3072	3072	80	1024	4	1	10000		40000	4461	81	7278		1897.79511369872	0.013	837.152843180344	149.48165196417	124.264875159582	182.845										
			3072	3072	100	1024	4	1	10000		40000	5336	4	8760		2195.8113617356	0.07045	816.876672044438	148.840075012253	122.05286213164	186.57925										
																															
			3072	3072	0	524288	4	1	10000		40000	454	1	1936		318.064796331816	0	1040.71809548589	184.971380252374	155.497918563809	182										
			3072	3072	100	524288	1	1	10000		10000	106	12	183		6.36138721978157	0.0003	426.202957848527	75.7590325059668	64.5131430337127	182.0195										
			3072	3072	200	524288	1	1	10000		10000	504	2	3376		372.849418048413	0.2482	561.419267909275	108.628597469403	84.9804555917359	198.133										
																															
			3072	3072	0	1024	1	2	10000		10000	3	1	95		3.02703596113426	0	590.946696607966	105.031541779931	87.1415538943387	182										
